,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2022,SE,FT,Machine Learning Software Engineer,168000,CA,100,CA,M
1,2023,SE,FT,Data Analyst,179975,US,100,US,M
2,2022,SE,FT,Data Scientist,144000,US,100,US,M
3,2023,SE,FT,Applied Scientist,222200,US,0,US,L
4,2021,EX,FT,Head of Data,230000,RU,50,RU,L
5,2022,EN,FT,Applied Data Scientist,40000,AU,100,PK,M
6,2023,SE,FT,Data Scientist,105000,US,0,US,M
7,2023,EN,FT,Data Analyst,100000,US,50,US,M
8,2021,EN,FT,Data Scientist,29751,IN,50,IN,L
9,2023,SE,FT,Machine Learning Engineer,153090,US,0,US,M
10,2022,MI,FT,ETL Developer,52533,GR,0,GR,M
11,2022,SE,FT,Data Engineer,115000,US,100,US,M
12,2023,SE,FT,Data Engineer,128000,US,0,US,M
13,2022,MI,FT,Data Scientist,30523,IN,100,IN,L
14,2023,SE,FT,Data Analyst,128500,US,0,US,M
15,2023,SE,FT,Data Architect,92000,GB,100,GB,M
16,2022,EN,FT,Data Engineer,160000,US,0,US,M
17,2022,SE,FT,Data Scientist,168000,US,100,US,M
18,2022,SE,FT,Data Engineer,210000,US,100,US,M
19,2023,SE,FT,Data Scientist,153400,US,0,US,M
20,2023,MI,FT,Data Engineer,140000,US,0,US,M
21,2022,SE,FT,Data Analyst,99050,US,100,US,M
22,2023,SE,FT,Data Engineer,259000,US,100,US,M
23,2022,SE,FT,Data Engineer,200000,PR,100,PR,M
24,2023,SE,FT,Data Scientist,134236,US,0,US,M
25,2022,MI,FT,Data Engineer,170000,US,100,US,M
26,2023,SE,FT,Computer Vision Engineer,200000,US,100,US,S
27,2023,SE,FT,Data Analyst,120250,US,100,US,M
28,2021,SE,FT,Data Science Manager,54094,IN,50,US,L
29,2022,MI,FT,Data Scientist,145000,US,0,US,M
30,2023,SE,FT,Analytics Engineer,143860,US,0,US,M
31,2023,SE,FT,Data Analyst,138000,US,100,US,M
32,2022,SE,FT,Machine Learning Scientist,216000,US,0,US,M
33,2022,SE,FT,Data Analyst,61300,CA,100,CA,M
34,2020,MI,FT,Data Scientist,42197,FR,50,FR,S
35,2022,MI,FT,Data Analytics Manager,140000,US,0,US,M
36,2021,EN,FT,Power BI Developer,5409,IN,50,IN,L
37,2020,EN,FT,Data Analyst,10000,NG,100,NG,S
38,2023,SE,FT,Data Analyst,180180,US,0,US,M
39,2022,SE,FT,Data Engineer,188100,US,0,US,M
40,2022,EX,FT,Analytics Engineer,150000,US,100,US,M
41,2021,EN,FT,Research Scientist,100000,JE,0,CN,L
42,2023,MI,FT,Applied Machine Learning Engineer,130000,US,0,US,M
43,2022,SE,FT,Big Data Engineer,161311,CA,50,CA,M
44,2023,SE,FT,Data Engineer,205600,US,0,US,L
45,2023,SE,FT,Data Analyst,140000,US,0,US,M
46,2022,SE,FT,Machine Learning Developer,76814,CA,100,CA,M
47,2022,SE,FT,Data Engineer,102100,US,0,US,M
48,2023,MI,FT,Data Analyst,83500,US,100,US,M
49,2022,SE,FT,Machine Learning Engineer,68293,IE,100,IE,S
50,2020,MI,FT,Product Data Analyst,6072,IN,100,IN,L
51,2022,EN,FT,AI Scientist,50000,US,100,US,M
52,2023,SE,FT,Data Scientist,370000,US,0,US,M
53,2022,SE,FT,Data Analyst,99450,US,100,US,M
54,2023,SE,FT,Data Scientist,257000,US,0,US,M
55,2022,SE,FT,Data Engineer,160000,US,0,US,L
56,2022,MI,FT,Data Analyst,109000,US,0,US,M
57,2023,SE,FT,Data Scientist,155000,US,0,US,M
58,2022,SE,FT,Data Scientist,230000,US,100,US,M
59,2023,EX,FT,Head of Data Science,160288,GB,0,GB,M
60,2023,SE,FT,Data Engineer,90700,US,0,US,M
61,2022,MI,FT,Data Analyst,150000,US,100,US,M
62,2023,SE,FT,Data Analyst,40777,ES,0,ES,M
63,2023,SE,FT,Data Scientist,165000,US,0,US,M
64,2021,MI,FT,Data Architect,180000,US,100,US,L
65,2021,SE,FT,Data Scientist,54094,IN,100,IN,L
66,2023,MI,FT,Data Engineer,175000,US,0,US,M
67,2023,MI,FT,MLOps Engineer,134000,US,100,US,M
68,2023,MI,FT,Data Scientist,180000,US,100,US,M
69,2022,SE,FT,Data Scientist,140000,US,0,US,M
70,2022,SE,FT,Data Scientist,205300,US,0,US,L
71,2023,MI,FT,Data Analyst,75000,US,0,US,M
72,2023,EN,FT,Applied Scientist,130760,US,0,US,L
73,2022,MI,FT,Data Engineer,105000,US,0,US,M
74,2022,MI,FT,ML Engineer,98200,US,100,US,L
75,2023,MI,FT,Machine Learning Engineer,280700,US,100,US,M
76,2023,SE,FT,Data Scientist,195000,US,0,US,M
77,2022,SE,FT,Data Science Consultant,128000,US,0,US,M
78,2023,MI,FT,Research Engineer,230000,US,0,US,M
79,2022,SE,FT,Data Operations Analyst,92250,US,0,US,M
80,2022,MI,FT,Data Engineer,67723,GB,100,GB,M
81,2022,SE,FT,Data Scientist,140000,US,0,US,M
82,2023,SE,FT,Data Engineer,230000,US,0,US,M
83,2023,SE,FT,Machine Learning Engineer,120000,US,100,US,M
84,2022,MI,FT,Data Scientist Lead,89306,AT,50,AT,L
85,2021,SE,FT,Data Scientist,77684,FR,50,FR,M
86,2022,SE,FT,Analytics Engineer,130000,US,100,US,M
87,2023,SE,FT,Data Engineer,220000,US,0,US,M
88,2022,MI,FT,Data Scientist,120402,CH,0,CH,L
89,2021,MI,FT,Data Science Lead,150000,US,100,US,M
90,2023,MI,FT,Machine Learning Engineer,121523,GB,0,GB,M
91,2021,SE,FT,Data Engineer,153000,US,100,US,L
92,2022,SE,FT,Data Scientist,130000,US,100,US,M
93,2023,MI,FT,Data Analyst,65000,US,100,US,M
94,2022,SE,FT,Analytics Engineer,170000,US,100,US,M
95,2022,SE,FT,Data Analyst,115000,US,100,US,M
96,2023,SE,FT,Data Scientist,170000,US,0,US,M
97,2023,EN,FT,Data Engineer,92700,US,100,US,M
98,2023,SE,FT,Machine Learning Engineer,304000,US,100,US,M
99,2022,SE,FT,Data Scientist,170000,US,100,US,M
100,2023,SE,FT,Data Scientist,145000,US,100,US,M
101,2022,SE,FT,Data Engineer,185800,CA,100,CA,M
102,2023,SE,FT,Data Scientist,110000,US,100,US,M
103,2022,SE,FT,Data Engineer,247500,US,0,US,M
104,2022,EN,PT,BI Analyst,12000,MX,100,US,L
105,2023,MI,FT,Data Science Manager,104500,US,0,US,M
106,2022,SE,FT,Data Scientist,98506,GB,0,GB,M
107,2022,SE,FT,Data Architect,195400,US,100,US,L
108,2023,EN,FT,Data Engineer,90000,US,0,US,M
109,2022,SE,FT,Data Scientist,123400,US,0,US,M
110,2022,MI,FT,Data Analytics Engineer,135000,US,100,US,L
111,2023,SE,FT,Data Analyst,165000,US,100,US,M
112,2023,SE,FT,Data Analyst,148500,US,0,US,M
113,2023,SE,FT,Data Engineer,252000,US,0,US,M
114,2023,SE,FT,Data Analyst,106020,US,0,US,M
115,2020,EN,FT,Data Scientist,105000,US,100,US,S
116,2022,MI,FT,Data Engineer,65000,US,0,US,M
117,2022,MI,FT,Data Scientist,54634,NL,100,NL,S
118,2022,SE,FT,Data Engineer,200000,US,100,US,M
119,2023,SE,FT,Data Scientist,136000,US,100,US,M
120,2023,MI,FT,Data Analyst,109371,HR,0,HR,M
121,2022,SE,FT,Data Engineer,205000,US,100,US,M
122,2022,MI,FT,Data Analyst,100000,US,0,US,M
123,2023,SE,FT,Data Analyst,95000,US,0,US,M
124,2023,SE,FT,Data Analyst,80000,US,0,US,M
125,2023,SE,FT,Data Engineer,247300,US,0,US,M
126,2022,SE,FT,Machine Learning Engineer,200000,US,100,US,L
127,2023,SE,FT,Machine Learning Engineer,220000,US,0,US,M
128,2023,MI,FT,Machine Learning Engineer,46178,GB,100,GB,M
129,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
130,2023,SE,FT,Data Scientist,183500,US,100,US,M
131,2023,EX,FT,Head of Data,269600,US,0,US,M
132,2020,MI,FT,Data Scientist,62726,FR,50,LU,S
133,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,US,100,US,M
134,2023,MI,FT,Research Scientist,185000,US,100,US,M
135,2022,SE,FT,Data Scientist,198440,US,100,US,M
136,2021,MI,FT,Data Engineer,28369,MT,50,MT,L
137,2022,SE,FT,Data Engineer,63000,US,0,US,M
138,2022,SE,FT,Data Engineer,130000,US,0,US,M
139,2023,SE,FT,Analytics Engineer,173000,US,100,US,M
140,2023,SE,FT,Data Analyst,208450,US,100,US,M
141,2022,EX,FT,Data Engineer,116100,US,100,US,M
142,2023,SE,FT,Applied Scientist,230000,US,100,US,M
143,2022,SE,FT,Data Scientist,205300,US,0,US,M
144,2022,SE,FT,Data Analyst,169000,US,0,US,M
145,2022,SE,FT,Data Engineer,185900,US,0,US,M
146,2023,SE,FT,Data Engineer,260000,US,0,US,M
147,2023,SE,FT,Data Scientist,218500,US,100,US,M
148,2022,SE,FT,Data Analyst,99000,US,0,US,M
149,2023,SE,FT,Business Intelligence Engineer,156400,US,0,US,M
150,2023,MI,FT,Data Analyst,150000,US,0,US,M
151,2021,SE,FT,Data Specialist,165000,US,100,US,L
152,2020,MI,FT,Data Scientist,76958,GB,100,GB,S
153,2023,SE,FT,Data Analyst,102500,US,100,US,M
154,2022,SE,FT,Data Engineer,115000,US,100,US,M
155,2022,SE,FT,Data Engineer,200000,US,0,US,M
156,2022,SE,FT,Data Engineer,120000,US,0,US,M
157,2022,MI,FT,Machine Learning Scientist,112300,US,100,US,L
158,2023,SE,FT,Data Engineer,138750,US,100,US,M
159,2023,SE,FT,Machine Learning Engineer,153400,US,0,US,M
160,2022,MI,FT,Data Analyst,136000,US,100,US,M
161,2023,SE,FT,Data Engineer,66000,US,100,US,M
162,2023,MI,FT,Data Analyst,72914,HR,0,HR,M
163,2022,MI,FT,Data Analyst,5723,IN,100,IN,S
164,2023,EN,FT,Data Analyst,55000,US,0,US,M
165,2022,EX,FT,Data Engineer,260000,US,100,US,M
166,2023,SE,FT,Data Scientist,239748,US,0,US,M
167,2023,SE,FT,Data Engineer,220000,US,100,US,M
168,2022,EN,FT,Computer Vision Software Engineer,150000,AU,100,AU,S
169,2022,SE,FT,Data Science Manager,299500,US,0,US,M
170,2022,SE,FT,Data Engineer,116250,US,100,US,M
171,2023,MI,FT,Machine Learning Engineer,135000,US,50,US,L
172,2023,MI,FT,ETL Engineer,85066,GB,100,GB,M
173,2023,SE,FT,Data Engineer,137500,US,100,US,M
174,2022,SE,FT,Data Analyst,130000,CA,100,CA,M
175,2022,MI,FT,Data Analyst,150000,US,0,US,M
176,2023,SE,FT,Data Scientist,258000,CA,0,CA,M
177,2021,MI,FL,Autonomous Vehicle Technician,45555,AS,50,BS,M
178,2023,SE,FT,Machine Learning Engineer,163800,US,0,US,M
179,2023,SE,FT,Data Scientist,185900,US,0,US,M
180,2022,MI,FT,Analytics Engineer,122500,US,100,US,M
181,2022,EN,FT,BI Data Analyst,8050,IN,100,IN,M
182,2023,SE,FT,Data Manager,120000,US,0,US,M
183,2022,SE,FT,Data Engineer,68293,ES,0,ES,M
184,2023,SE,FT,Computer Vision Engineer,342810,US,0,US,M
185,2022,SE,FT,Data Scientist,150000,US,0,US,M
186,2022,SE,FT,Data Science Manager,245100,US,0,US,M
187,2023,SE,FT,Data Scientist,190000,US,0,US,M
